iter	Logloss
0	0.6770231591
1	0.6630122019
2	0.6500726767
3	0.6386802587
4	0.6285132226
5	0.6194673322
6	0.6112929156
7	0.6041495265
8	0.5977366564
9	0.5923848443
10	0.5874131309
11	0.5832158969
12	0.5790695748
13	0.5754741425
14	0.5722148341
15	0.5694523649
16	0.5668555075
17	0.5646773826
18	0.5626037637
19	0.5608974052
20	0.5591593601
21	0.5576271926
22	0.5561882335
23	0.5547412036
24	0.5533997535
25	0.5523307712
26	0.5515115406
27	0.5506129428
28	0.5497519712
29	0.5490634457
30	0.54833883
31	0.5476157473
32	0.5471030394
33	0.5465577245
34	0.545994672
35	0.5454432941
36	0.5449184282
37	0.5444254616
38	0.5440410628
39	0.5437074431
40	0.5433623745
41	0.5430357789
42	0.5427285726
43	0.5423720446
44	0.5420656352
45	0.5418075458
46	0.5415512004
47	0.5413033649
48	0.541045782
49	0.5407582723
50	0.5405534622
51	0.5403605325
52	0.5401882298
53	0.5399996437
54	0.53979258
55	0.5396275377
56	0.5394705925
57	0.539300176
58	0.5391716674
59	0.53895233
60	0.5387812893
61	0.5385991554
62	0.5384047515
63	0.5383258983
64	0.5381941552
65	0.5380715382
66	0.5379308847
67	0.5377931942
68	0.5376571278
69	0.53755111
70	0.5373792206
71	0.5372856884
72	0.5372065459
73	0.5371077203
74	0.5369595636
75	0.5368769305
76	0.5367661954
77	0.5366915501
78	0.53661537
79	0.5364776082
80	0.5364040234
81	0.5363226862
82	0.5362272404
83	0.5361730745
84	0.5360837818
85	0.5360145832
86	0.5359238673
87	0.5358687437
88	0.5358067114
89	0.5357429765
90	0.5356871686
91	0.5356164675
92	0.5355573599
93	0.535507602
94	0.5354259279
95	0.5353814128
96	0.5352857993
97	0.5351838776
98	0.5351282947
99	0.5350583276
100	0.5349870218
101	0.5349464922
102	0.534809963
103	0.5347182444
104	0.5346423773
105	0.5345770426
106	0.5345016693
107	0.5344485448
108	0.5343310407
109	0.5342592343
110	0.5342094342
111	0.5341476593
112	0.5340814253
113	0.5340187573
114	0.5339333366
115	0.5338824299
116	0.5338154082
117	0.5337732286
118	0.5337287242
119	0.5336763834
120	0.5336199959
121	0.5335801064
122	0.5335424441
123	0.5335006577
124	0.5334795257
125	0.5333950074
126	0.5333767008
127	0.533328319
128	0.5332838997
129	0.5332310628
130	0.5332219023
131	0.5331550854
132	0.5330946654
133	0.5330398616
134	0.5329931475
135	0.5329565646
136	0.5329136288
137	0.532889569
138	0.5328444348
139	0.5328157786
140	0.5327906276
141	0.5327179638
142	0.532641197
143	0.5325987473
144	0.5325565047
145	0.5325301891
146	0.5324711583
147	0.5324337274
148	0.5323674271
149	0.5322825902
150	0.5322381355
151	0.5321908751
152	0.5321586585
153	0.5321130191
154	0.5320404919
155	0.5319902538
156	0.5319772494
157	0.5319176881
158	0.5318866974
159	0.531829772
160	0.5318148496
161	0.5317324521
162	0.5316733943
163	0.5316126468
164	0.5315629912
165	0.5314822313
166	0.5314343519
167	0.5314031933
168	0.5313706877
169	0.5313320236
170	0.5312763992
171	0.5312191639
172	0.5311848756
173	0.5311387854
174	0.5310904838
175	0.5310616448
176	0.5310201207
177	0.5309506962
178	0.5309099375
179	0.5308678212
180	0.5308327326
181	0.5308043484
182	0.5307772625
183	0.5307369435
184	0.5307156113
185	0.5306768722
186	0.530599253
187	0.5305511777
188	0.5305185831
189	0.5304840989
190	0.5303975491
191	0.5303628862
192	0.5303259317
193	0.5302671766
194	0.5301968596
195	0.5301694593
196	0.5301274237
197	0.5300798301
198	0.5300388365
199	0.5299873635
200	0.5299230452
201	0.5298564064
202	0.5298376215
203	0.529762538
204	0.5297212824
205	0.529665807
206	0.5296402382
207	0.5296307217
208	0.5295907008
209	0.5295382858
210	0.5294869999
211	0.5294589212
212	0.5293978592
213	0.5293818832
214	0.5293323106
215	0.5292799548
216	0.5292424254
217	0.529195239
218	0.5291674528
219	0.5291195889
220	0.5290560893
221	0.5289956579
222	0.5289510923
223	0.5288826662
224	0.5288329672
225	0.5287828975
226	0.5287262938
227	0.5286774418
228	0.5286219763
229	0.5285722698
230	0.5285223679
231	0.5284737437
232	0.528439073
233	0.5284122924
234	0.5283714832
235	0.5283297656
236	0.5282710608
237	0.5282436549
238	0.5281891616
239	0.5281538806
240	0.5281149198
241	0.5280737413
242	0.5280285924
243	0.5279950286
244	0.5279374929
245	0.5279078537
246	0.5278704982
247	0.5278359721
248	0.5277912996
249	0.527734195
250	0.5276814946
251	0.5276386361
252	0.5275934245
253	0.527538978
254	0.5275064126
255	0.5274474467
256	0.5274032867
257	0.5273751917
258	0.5273302376
259	0.5273219425
260	0.5272702735
261	0.5272172782
262	0.5271902355
263	0.5271491148
264	0.5271154608
265	0.5270708029
266	0.5270185219
267	0.5270073371
268	0.5269579477
269	0.5269213894
270	0.5268897518
271	0.5268527671
272	0.5268024931
273	0.5267528207
274	0.526722599
275	0.5266929715
276	0.5266256132
277	0.5265857689
278	0.5265505675
279	0.526510075
280	0.5264463597
281	0.5263838802
282	0.5263512128
283	0.5262907843
284	0.5262297494
285	0.5261609945
286	0.526117721
287	0.5260843521
288	0.5260411192
289	0.5260054504
290	0.5259385588
291	0.5258842301
292	0.525842282
293	0.525815459
294	0.5257721757
295	0.5257351735
296	0.5256803966
297	0.5256251964
298	0.5255974567
299	0.5255495252
300	0.5254985483
301	0.5254521965
302	0.5254171552
303	0.5253478895
304	0.5252854183
305	0.5252580202
306	0.5252017543
307	0.5251622157
308	0.525101689
309	0.5250246634
310	0.5249951131
311	0.5249889103
312	0.524918181
313	0.5248666241
314	0.524832539
315	0.5247873067
316	0.5247541732
317	0.5247062038
318	0.5246602479
319	0.5246078626
320	0.5245981491
321	0.524549186
322	0.524544048
323	0.5245119607
324	0.5244713123
325	0.5244299196
326	0.5243814821
327	0.5243501856
328	0.5243025547
329	0.5242491466
330	0.5241958691
331	0.5241907589
332	0.5241459314
333	0.5241121004
334	0.524044522
335	0.5240210934
336	0.5239505827
337	0.5239157486
338	0.5238747869
339	0.5238317671
340	0.5238255918
341	0.5237774557
342	0.5237478198
343	0.5236989169
344	0.5236544806
345	0.5236196229
346	0.5235870551
347	0.52356143
348	0.5235156135
349	0.5234673465
350	0.523405491
351	0.5233679811
352	0.5233303328
353	0.5232580485
354	0.5232521476
355	0.5232205668
356	0.5231758463
357	0.5231435201
358	0.5231366141
359	0.523090891
360	0.52306102
361	0.5230284665
362	0.5230058805
363	0.5229725299
364	0.5229504722
365	0.5229118056
366	0.5228587146
367	0.5228327466
368	0.522792864
369	0.5227476037
370	0.5227261746
371	0.5227094811
372	0.522687184
373	0.5226512783
374	0.5226200998
375	0.5225670451
376	0.5225321165
377	0.5224949423
378	0.52247156
379	0.5224196035
380	0.5223509966
381	0.5223483882
382	0.5222948315
383	0.5222546059
384	0.5222068137
385	0.5221562068
386	0.5221271045
387	0.5220811265
388	0.5220519568
389	0.5220038114
390	0.5219485116
391	0.5218845585
392	0.5218800258
393	0.5218247902
394	0.5218039068
395	0.5217364648
396	0.521678617
397	0.5216464446
398	0.5216184052
399	0.5215659092
400	0.5215295113
401	0.5214851311
402	0.5214821894
403	0.5214334767
404	0.521394042
405	0.5213598667
406	0.5213163609
407	0.5212968343
408	0.5212452795
409	0.5211930295
410	0.5211549888
411	0.5211247461
412	0.5210872736
413	0.5210590332
414	0.52100442
415	0.5209667083
416	0.5209282454
417	0.5209016639
418	0.5208692947
419	0.5208189868
420	0.5207450831
421	0.5207252445
422	0.5206908844
423	0.5206529922
424	0.520629163
425	0.5205985491
426	0.5205640172
427	0.5205065158
428	0.5205029465
429	0.5204714221
430	0.5204675442
431	0.5204419386
432	0.5204232057
433	0.520380345
434	0.5203276573
435	0.5202680561
436	0.520220161
437	0.5201560371
438	0.5201525449
439	0.5201156214
440	0.5200652888
441	0.5200291556
442	0.5199903386
443	0.5199768663
444	0.5199370651
445	0.5198999014
446	0.5198328372
447	0.5197974146
448	0.5197741017
449	0.5197510618
450	0.5197025634
451	0.5196696381
452	0.5196378231
453	0.5196163047
454	0.5195400932
455	0.5194706835
456	0.5194305421
457	0.5193758713
458	0.5193366164
459	0.5192806413
460	0.5192286628
461	0.5191975018
462	0.5191541626
463	0.519098654
464	0.5190576587
465	0.5190345173
466	0.5190022926
467	0.5189816433
468	0.5189335201
469	0.5188931094
470	0.5188578544
471	0.5188189942
472	0.5187595079
473	0.5187089647
474	0.5186801294
475	0.5186480951
476	0.5186148435
477	0.5185812308
478	0.5185369583
479	0.518492517
480	0.51847053
481	0.518424928
482	0.5184044341
483	0.5183575246
484	0.5183139839
485	0.5182849886
486	0.5182817295
487	0.518260825
488	0.5182004661
489	0.5181979787
490	0.5181693522
491	0.5181422637
492	0.5181024989
493	0.5180832255
494	0.5180511789
495	0.5180135334
496	0.5179706341
497	0.5179429139
498	0.5179196627
499	0.5178941416
500	0.5178675114
501	0.5178564417
502	0.5178409515
503	0.5178347662
504	0.517798288
505	0.5177664302
506	0.5177119838
507	0.5176962395
508	0.5176507342
509	0.5176341074
510	0.5175856671
511	0.5175396414
512	0.5175227391
513	0.5175044752
514	0.5175011855
515	0.5174333517
516	0.5174162097
517	0.5173828843
518	0.5173542252
519	0.51731566
520	0.5172833867
521	0.517225333
522	0.5171914567
523	0.5171502608
524	0.5171335902
525	0.5170991229
526	0.5170550006
527	0.5170309859
528	0.5169807248
529	0.5169786552
530	0.5169534397
531	0.5169210282
532	0.516880967
533	0.5168621209
534	0.5167955956
535	0.5167719544
536	0.5167348787
537	0.5166937394
538	0.5166817579
539	0.5166316328
540	0.5166039984
541	0.5165858267
542	0.5165845303
543	0.5165592569
544	0.5165559839
545	0.5165329856
546	0.5165034609
547	0.5164971796
548	0.5164763411
549	0.5164531254
550	0.5164224512
551	0.5163982173
552	0.5163728185
553	0.5163357575
554	0.5163058843
555	0.516287622
556	0.5162476781
557	0.516226058
558	0.5162173078
559	0.5161515724
560	0.5161097644
561	0.5161073049
562	0.5160568605
563	0.5160246409
564	0.5159978969
565	0.5159681105
566	0.5159234305
567	0.5158492112
568	0.5158253725
569	0.5157744968
570	0.5157456943
571	0.5156970234
572	0.5156641441
573	0.515631558
574	0.5155867574
575	0.5155307546
576	0.515486178
577	0.5154496141
578	0.5154247101
579	0.5154152014
580	0.5153627913
581	0.5153258147
582	0.5152836118
583	0.5152481283
584	0.5152326737
585	0.515204721
586	0.5151568645
587	0.5151465412
588	0.515118637
589	0.5150569115
590	0.5150278777
591	0.5149983978
592	0.5149894348
593	0.5149572877
594	0.5149095433
595	0.5148708161
596	0.5148205302
597	0.5147915313
598	0.5147396856
599	0.5147136871
600	0.5146798802
601	0.5146434796
602	0.5146295159
603	0.5145734331
604	0.5145297566
605	0.5144850372
606	0.5144623421
607	0.5144284399
608	0.5143951042
609	0.514392691
610	0.5143403797
611	0.5143224159
612	0.5142918402
613	0.5142751643
614	0.5142416236
615	0.5142190407
616	0.5141851786
617	0.5141365069
618	0.5141058828
619	0.5140888267
620	0.514055024
621	0.5140131087
622	0.5139990245
623	0.5139603774
624	0.5139330494
625	0.513907261
626	0.513875867
627	0.5138056958
628	0.513780933
629	0.5137385225
630	0.5137120231
631	0.5136609401
632	0.5136266652
633	0.5135907931
634	0.5135619948
635	0.5135345537
636	0.5134969223
637	0.5134547924
638	0.5134132671
639	0.5134081315
640	0.5133595422
641	0.5133352703
642	0.5133008261
643	0.513271443
644	0.5132370384
645	0.5132059011
646	0.5131604733
647	0.513150127
648	0.5131388501
649	0.5131198431
650	0.5130751059
651	0.5130626506
652	0.5130334731
653	0.5130195027
654	0.5130005275
655	0.5129986583
656	0.5129777841
657	0.5129390083
658	0.5129077294
659	0.5128870789
660	0.5128545483
661	0.5128056002
662	0.5127777293
663	0.512751683
664	0.5127334404
665	0.5127102382
666	0.5126721527
667	0.5126128817
668	0.5125736946
669	0.5125219339
670	0.5124903343
671	0.5124889161
672	0.5124659326
673	0.5124305748
674	0.5123973333
675	0.512364576
676	0.5123316805
677	0.512300659
678	0.512248468
679	0.5122258354
680	0.5121838155
681	0.5121642886
682	0.5121042642
683	0.5120774889
684	0.5120548847
685	0.5120112329
686	0.5119743593
687	0.5119297689
688	0.5118964851
689	0.511849901
690	0.5118216546
691	0.5117777837
692	0.5117255088
693	0.5116873011
694	0.5116685907
695	0.5116381763
696	0.5116168593
697	0.5116155397
698	0.5115932188
699	0.5115616315
700	0.5115312078
701	0.5114951104
702	0.511465203
703	0.5114209204
704	0.5113961108
705	0.51135215
706	0.5113130478
707	0.5113126065
708	0.5112917181
709	0.5112648827
710	0.5112454501
711	0.5112238308
712	0.5111772398
713	0.5111412671
714	0.5111347328
715	0.5111323658
716	0.5111147355
717	0.5110848563
718	0.5110607606
719	0.5110271962
720	0.5109927743
721	0.5109666789
722	0.5109569869
723	0.5109136967
724	0.510882127
725	0.5108510405
726	0.5108329317
727	0.5108000594
728	0.5107689185
729	0.5107348956
730	0.5107009294
731	0.5106485109
732	0.510625157
733	0.5106245581
734	0.5105798526
735	0.5105551205
736	0.5105335568
737	0.5104930653
738	0.5104715771
739	0.5104351895
740	0.5104237086
741	0.5104038975
742	0.5103819723
743	0.5103461441
744	0.5103196997
745	0.510300956
746	0.5102566668
747	0.5102290792
748	0.5101917756
749	0.5101228177
750	0.5100967165
751	0.51006329
752	0.5100288165
753	0.5099725977
754	0.5099506436
755	0.5099209369
756	0.5098786775
757	0.5098390818
758	0.5098256289
759	0.5097794934
760	0.5097455762
761	0.5097254191
762	0.5096911146
763	0.5096902222
764	0.5096652348
765	0.5096646459
766	0.5096388087
767	0.5096077958
768	0.5095612053
769	0.509536415
770	0.5095116018
771	0.5094660644
772	0.5094563926
773	0.5094021741
774	0.5093628653
775	0.5093379382
776	0.5093015593
777	0.5092766889
778	0.5092337437
779	0.5092114064
780	0.5091903249
781	0.5091610828
782	0.509129705
783	0.5090885913
784	0.5090599955
785	0.5090109034
786	0.5089840852
787	0.5089538754
788	0.5089130446
789	0.5088824863
790	0.5088544917
791	0.508826774
792	0.5087915913
793	0.5087463081
794	0.5087049431
795	0.5086876693
796	0.5086380447
797	0.5086110218
798	0.5085966473
799	0.5085691126
800	0.5085253667
801	0.508483176
802	0.5084213299
803	0.5083837058
804	0.5083652997
805	0.5083347085
806	0.5082923519
807	0.5082626543
808	0.5082313711
809	0.5082120555
810	0.5081548362
811	0.5081155497
812	0.5080876094
813	0.5080651697
814	0.5080338262
815	0.5079877919
816	0.5079607903
817	0.5079356523
818	0.5079179526
819	0.5079018355
820	0.5078567054
821	0.5078552551
822	0.5078311084
823	0.5078165745
824	0.5077983764
825	0.5077901613
826	0.5077616848
827	0.5077314858
828	0.5077082195
829	0.5076740115
830	0.5076461545
831	0.50761757
832	0.5075595096
833	0.507538715
834	0.5075058106
835	0.5074359333
836	0.5074140828
837	0.5073841633
838	0.5073206794
839	0.5072810571
840	0.5072457642
841	0.5072251787
842	0.5071959288
843	0.5071829208
844	0.5071269178
845	0.5070836602
846	0.5070320197
847	0.5069589844
848	0.5069303627
849	0.5068949468
850	0.5068271604
851	0.506803529
852	0.50676759
853	0.5067435638
854	0.506742508
855	0.5067222088
856	0.5067013107
857	0.5066619838
858	0.5066400726
859	0.5066390546
860	0.5065978293
861	0.5065553799
862	0.5065539331
863	0.5065258202
864	0.5064857313
865	0.5064488302
866	0.5064046817
867	0.5063748711
868	0.5063419526
869	0.5063065273
870	0.5062675818
871	0.5062293843
872	0.5062005624
873	0.5061730997
874	0.5061666221
875	0.5061541202
876	0.5061091092
877	0.5060808918
878	0.506052212
879	0.506024118
880	0.5060008718
881	0.5059747931
882	0.5059538457
883	0.50592997
884	0.5058959974
885	0.5058779116
886	0.5058621676
887	0.5058369568
888	0.5057757694
889	0.5057589829
890	0.5057231878
891	0.5056954389
892	0.5056685267
893	0.50563809
894	0.5055848381
895	0.5055697484
896	0.5055350313
897	0.5055230073
898	0.505487082
899	0.5054572658
900	0.5054340332
901	0.5054065711
902	0.505385839
903	0.5053699219
904	0.5053422986
905	0.5053184414
906	0.5052948891
907	0.5052640411
908	0.5052276733
909	0.5051925556
910	0.5051481969
911	0.5051070759
912	0.5050750542
913	0.5050432623
914	0.5050157711
915	0.5049830817
916	0.504958805
917	0.5049314502
918	0.5048992483
919	0.5048716114
920	0.5048412124
921	0.5048064789
922	0.5047717529
923	0.5047566031
924	0.504737533
925	0.5047326944
926	0.5047085512
927	0.5046895647
928	0.5046436863
929	0.5046192737
930	0.504592256
931	0.5045580544
932	0.5045259143
933	0.5044928798
934	0.5044491345
935	0.5044477534
936	0.5044291569
937	0.5043864501
938	0.504363005
939	0.50432972
940	0.5043086589
941	0.5043075669
942	0.5042721077
943	0.504247177
944	0.5042165209
945	0.5041861918
946	0.5041729949
947	0.5041294704
948	0.5040903213
949	0.5040820675
950	0.5040634464
951	0.5040314599
952	0.5040160063
953	0.5039925106
954	0.50397349
955	0.5039488019
956	0.503927338
957	0.5038740951
958	0.503843714
959	0.5038065198
960	0.5037772264
961	0.5037540241
962	0.5037284633
963	0.5037271618
964	0.5037013266
965	0.5036684319
966	0.503637274
967	0.5036195482
968	0.5035836107
969	0.5035613476
970	0.5035490906
971	0.5035205443
972	0.5034818741
973	0.5034627929
974	0.5034465741
975	0.5034324362
976	0.5034320092
977	0.5034066006
978	0.5033894263
979	0.5033798841
980	0.5033296342
981	0.5032963107
982	0.5032719486
983	0.5032489205
984	0.5032237157
985	0.5032041229
986	0.5031826241
987	0.5031818101
988	0.5031567723
989	0.5031511827
990	0.5030973175
991	0.503090525
992	0.5030659212
993	0.5030275145
994	0.5029920908
995	0.502953737
996	0.5029293905
997	0.5028751206
998	0.502853224
999	0.50283278
